"K1","ko"
"ko:K00962","ko03018"
"ko:K02470",""
"ko:K10439","ko02030"
"ko:K13953","ko01220"
"ko:K02111","ko01100"
"ko:K21572",""
"ko:K03070","ko03070"
"ko:K03879","ko05415"
"ko:K03878","ko05415"
"ko:K00052","ko01230"
"ko:K02406","ko05134"
"ko:K02112","ko01100"
"ko:K04567","ko00970"
"ko:K02035","ko02024"
"ko:K02027",""
"ko:K03701","ko03420"
"ko:K02115","ko01100"
"ko:K02358","ko04626"
"ko:K01873","ko00970"
"ko:K02055","ko02024"
"ko:K02557","ko02040"
"ko:K01872","ko00970"
"ko:K02906","ko03010"
"ko:K02935","ko03010"
"ko:K02879","ko03010"
"ko:K00256",""
"ko:K16092",""
"ko:K00496","ko00930"
"ko:K08301",""
"ko:K11927","ko03018"
"ko:K02519",""
"ko:K15644",""
"ko:K03551","ko03440"
"ko:K06911",""
"ko:K07568",""
"ko:K06207",""
"ko:K01696","ko01230"
"ko:K03046","ko03020"
"ko:K01251","ko01100"
"ko:K00303","ko01100"
"ko:K00122","ko01200"
"ko:K02986","ko03010"
"ko:K02926","ko03010"
"ko:K00627","ko01210"
"ko:K00606","ko01240"
"ko:K07257",""
"ko:K04043","ko05152"
"ko:K03782","ko01110"
"ko:K03553","ko03440"
"ko:K03531","ko04112"
"ko:K00824","ko01120"
"ko:K02002","ko02010"
"ko:K01963","ko01212"
"ko:K03407","ko02030"
"ko:K00249","ko04936"
"ko:K04077","ko05417"
"ko:K00315","ko01100"
"ko:K03880","ko05415"
"ko:K02933","ko03010"
"ko:K02886","ko03010"
"ko:K01406","ko01503"
"ko:K00626","ko04975"
"ko:K02487",""
"ko:K00525","ko01232"
"ko:K00033","ko01200"
"ko:K00024","ko01200"
"ko:K02014",""
"ko:K02867","ko03010"
"ko:K07003",""
"ko:K03043","ko03020"
"ko:K01626","ko02024"
"ko:K00645","ko01212"
"ko:K00575","ko02030"
"ko:K02967","ko03010"
"ko:K03086","ko02040"
"ko:K01923","ko01110"
"ko:K01698","ko01240"
"ko:K02338","ko03440"
"ko:K05527",""
"ko:K19416",""
"ko:K02863","ko03010"
"ko:K13628",""
"ko:K01915","ko04727"
"ko:K02108","ko01100"
"ko:K00113","ko01110"
"ko:K00147","ko01230"
"ko:K00557",""
"ko:K02946","ko03010"
"ko:K02992","ko03010"
"ko:K02496","ko01240"
"ko:K02052","ko02024"
"ko:K01687","ko01230"
"ko:K03521",""
"ko:K02355",""
"ko:K00184","ko01100"
"ko:K02939","ko03010"
"ko:K03522",""
"ko:K03640",""
"ko:K03883","ko05415"
"ko:K01886","ko01100"
"ko:K02390","ko02040"
"ko:K01695","ko01230"
"ko:K01679","ko05211"
"ko:K03499",""
"ko:K04564","ko05417"
"ko:K01770","ko01110"
"ko:K00948","ko01230"
"ko:K07462","ko03440"
"ko:K00526","ko01232"
"ko:K01999","ko02024"
"ko:K02600",""
"ko:K07121",""
"ko:K00325","ko01100"
"ko:K02837",""
"ko:K01990",""
"ko:K04088",""
"ko:K07116",""
"ko:K00108","ko01100"
"ko:K01802",""
"ko:K00600","ko01523"
"ko:K02888","ko03010"
"ko:K02058",""
"ko:K11753","ko01240"
"ko:K02860",""
"ko:K01993",""
"ko:K03687",""
"ko:K03555","ko03430"
"ko:K03217","ko03070"
"ko:K00412","ko05415"
"ko:K01768","ko04213"
"ko:K01689","ko04820"
"ko:K01736","ko01230"
"ko:K02393","ko02040"
"ko:K01712","ko01100"
"ko:K01267",""
"ko:K02931","ko03010"
"ko:K01573","ko01100"
"ko:K00337","ko01100"
"ko:K01586","ko01230"
"ko:K02313","ko04112"
"ko:K02871","ko03010"
"ko:K00134","ko05415"
"ko:K01866","ko00970"
"ko:K02053","ko02024"
"ko:K00293","ko01230"
"ko:K03703","ko03420"
"ko:K00053","ko01230"
"ko:K10543","ko02010"
"ko:K00970","ko03018"
"ko:K08300","ko03018"
"ko:K00128","ko04936"
"ko:K02897","ko03010"
"ko:K01610","ko01200"
"ko:K01652","ko01230"
"ko:K03559",""
"ko:K01624","ko01230"
"ko:K01740","ko01100"
"ko:K14652","ko01240"
"ko:K00639","ko01100"
"ko:K01338","ko04112"
"ko:K02469",""
"ko:K13583","ko04112"
"ko:K00266","ko01230"
"ko:K21420",""
"ko:K03969",""
"ko:K05520",""
"ko:K03593",""
"ko:K14441",""
"ko:K15987",""
"ko:K04744",""
"ko:K00648","ko01212"
"ko:K02012","ko02010"
"ko:K01991","ko02026"
"ko:K00605","ko01200"
"ko:K02041","ko02010"
"ko:K14393",""
"ko:K07277","ko04137"
"ko:K02601",""
"ko:K03686",""
"ko:K00826","ko01240"
"ko:K11717","ko01100"
"ko:K00632","ko01212"
"ko:K19221","ko01240"
"ko:K06016","ko01100"
"ko:K02864","ko03010"
"ko:K03088",""
"ko:K03523","ko02010"
"ko:K03685","ko05205"
"ko:K02337","ko03440"
"ko:K01784","ko01250"
"ko:K05540",""
"ko:K01995","ko02024"
"ko:K07004",""
"ko:K00528",""
"ko:K05606","ko01200"
"ko:K09969","ko02010"
"ko:K01940","ko05418"
"ko:K01881","ko00970"
"ko:K01938","ko01240"
"ko:K06168",""
"ko:K15738",""
"ko:K01448","ko01503"
"ko:K11177","ko01232"
"ko:K18013","ko01100"
"ko:K03644","ko01240"
"ko:K06179",""
"ko:K01714","ko01230"
"ko:K04487","ko04122"
"ko:K00558","ko05206"
"ko:K03628","ko03018"
"ko:K03744",""
"ko:K09525","ko04141"
"ko:K02884","ko03010"
"ko:K01265",""
"ko:K03667",""
"ko:K00891","ko01230"
"ko:K02945","ko03010"
"ko:K00027","ko02020"
"ko:K03977",""
"ko:K01673","ko01100"
"ko:K00404","ko02020"
"ko:K03772",""
"ko:K07001",""
"ko:K00046",""
"ko:K01876","ko00970"
"ko:K02909","ko03010"
"ko:K02005",""
"ko:K06153","ko00552"
"ko:K04079","ko05418"
"ko:K03106","ko03070"
"ko:K01187","ko01110"
"ko:K18277","ko01120"
"ko:K02316","ko03030"
"ko:K00210",""
"ko:K01713","ko01230"
"ko:K05592","ko03018"
"ko:K15777","ko01110"
"ko:K01867","ko00970"
"ko:K02387","ko02040"
"ko:K02335","ko03440"
"ko:K01955","ko01240"
"ko:K02529",""
"ko:K01126","ko00564"
"ko:K00077","ko01240"
"ko:K03314",""
"ko:K08364",""
"ko:K01682","ko01230"
"ko:K00311",""
"ko:K02510","ko01120"
"ko:K01183","ko01100"
"ko:K02275","ko01100"
"ko:K00548","ko04980"
"ko:K01869","ko00970"
"ko:K00973","ko01250"
"ko:K06204","ko02026"
"ko:K02948","ko03010"
"ko:K03723","ko03420"
"ko:K03589","ko04112"
"ko:K01902","ko01200"
"ko:K01961","ko01212"
"ko:K01903","ko01200"
