"K1","ko"
"ko:K06643","ko05220"
"ko:K07203","ko05415"
"ko:K05681","ko04976"
"ko:K14326","ko03015"
"ko:K16465",""
"ko:K02893","ko05171"
"ko:K20800",""
"ko:K11727","ko03082"
"ko:K01590","ko01110"
"ko:K05970",""
"ko:K12831","ko03040"
"ko:K05288","ko01100"
"ko:K01613","ko01110"
"ko:K10807","ko01232"
"ko:K02977","ko05171"
"ko:K00856","ko01232"
"ko:K03241","ko05168"
"ko:K11805","ko03083"
"ko:K09512",""
"ko:K08766","ko05415"
"ko:K02109","ko01100"
"ko:K03178","ko05022"
"ko:K01711","ko01250"
"ko:K14777",""
"ko:K02936","ko05171"
"ko:K01527","ko04214"
"ko:K07243",""
"ko:K00826","ko01240"
"ko:K01192","ko04142"
"ko:K17619",""
"ko:K02905","ko05171"
"ko:K01897","ko04920"
"ko:K15322",""
"ko:K12470","ko04144"
"ko:K12869","ko03040"
"ko:K03259","ko04910"
"ko:K10579","ko04120"
"ko:K19752",""
"ko:K03327",""
"ko:K12852","ko03040"
"ko:K04427","ko05418"
"ko:K10960","ko01110"
"ko:K02364","ko01110"
"ko:K01890","ko00970"
"ko:K01135","ko04142"
"ko:K04368","ko05235"
"ko:K04506","ko04310"
"ko:K12765","ko04113"
"ko:K19750",""
"ko:K13412","ko05145"
"ko:K08857",""
"ko:K07466","ko03460"
"ko:K01312","ko05164"
"ko:K11518","ko05022"
"ko:K01807","ko01230"
"ko:K01735","ko01230"
"ko:K08592",""
"ko:K09495",""
"ko:K02942","ko05171"
"ko:K12026",""
"ko:K16292",""
"ko:K21867",""
"ko:K09497",""
"ko:K09272",""
"ko:K09487","ko05418"
"ko:K10408","ko05022"
"ko:K06002","ko04974"
"ko:K00939","ko01240"
"ko:K10403","ko04914"
"ko:K02256","ko05415"
"ko:K04905",""
"ko:K09530","ko04141"
"ko:K00516",""
"ko:K18669","ko04111"
"ko:K01900","ko01200"
"ko:K04739","ko04910"
"ko:K04851","ko05414"
"ko:K13735","ko05135"
"ko:K00284","ko01120"
"ko:K03452",""
"ko:K06515","ko05231"
"ko:K00382","ko01240"
"ko:K09490","ko05417"
"ko:K01689","ko04820"
"ko:K06824","ko04512"
"ko:K03283","ko05417"
"ko:K02926","ko03010"
"ko:K08057","ko05170"
"ko:K00134","ko05415"
"ko:K20479","ko04530"
"ko:K08286",""
"ko:K03251",""
"ko:K10838","ko03420"
"ko:K04437","ko05205"
"ko:K11187","ko04146"
"ko:K01769","ko01100"
"ko:K00891","ko01230"
"ko:K02636","ko01100"
"ko:K11292",""
"ko:K01641","ko03320"
"ko:K02355",""
"ko:K18465","ko04144"
"ko:K05302",""
"ko:K09842","ko01110"
"ko:K03626","ko04928"
"ko:K04771","ko02020"
"ko:K09535",""
"ko:K20365",""
"ko:K21989",""
"ko:K07151","ko04141"
"ko:K10046","ko01250"
"ko:K01188","ko01110"
"ko:K01363","ko04924"
"ko:K16780",""
"ko:K14141","ko05145"
"ko:K02873","ko05171"
"ko:K00411","ko05415"
